Year,Month,FlightNum,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SAN,SFO,447,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1451,SFO,RNO,192,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,1,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
1987,10,1453,BUR,OAK,325,0,NA,0
